Data,Visualizações da página Visão geral (total),Visitantes únicos da página Visão geral (total),Total de visualizações da página (total),Total de visitantes únicos (total)
04/03/2023,44,20,56,20
04/04/2023,44,21,55,21
04/05/2023,29,14,43,14
04/06/2023,19,13,26,13
04/07/2023,9,3,11,3
04/08/2023,8,6,10,6
04/09/2023,8,5,10,5
04/10/2023,29,13,41,14
04/11/2023,28,14,37,14
04/12/2023,15,8,25,8
04/13/2023,25,14,31,14
04/14/2023,42,27,61,27
04/15/2023,12,8,13,8
04/16/2023,11,4,19,4
04/17/2023,43,14,55,14
04/18/2023,49,17,63,17
04/19/2023,36,15,45,16
04/20/2023,30,15,44,15
04/21/2023,15,6,17,6
04/22/2023,12,5,14,5
04/23/2023,6,5,11,5
04/24/2023,49,17,65,17
04/25/2023,27,13,34,14
04/26/2023,37,12,41,12
04/27/2023,29,19,34,19
04/28/2023,37,23,48,23
04/29/2023,12,9,16,9
04/30/2023,1,1,2,2
05/01/2023,7,6,8,6
05/02/2023,30,18,37,18
05/03/2023,21,14,27,14
05/04/2023,27,13,56,13
05/05/2023,29,15,43,15
05/06/2023,14,9,19,9
05/07/2023,12,4,15,4
05/08/2023,33,18,44,18
05/09/2023,40,25,62,26
05/10/2023,31,19,47,19
05/11/2023,47,25,57,25
05/12/2023,39,17,53,18
05/13/2023,17,8,25,8
05/14/2023,10,6,12,6
05/15/2023,36,12,50,12
05/16/2023,34,14,46,14
05/17/2023,49,18,57,18
05/18/2023,30,12,39,14
05/19/2023,13,9,14,10
05/20/2023,5,4,7,4
05/21/2023,3,1,5,1
05/22/2023,29,17,42,17
05/23/2023,34,21,48,21
05/24/2023,18,13,24,13
05/25/2023,68,30,89,30
05/26/2023,40,20,51,21
05/27/2023,12,7,25,7
05/28/2023,4,3,4,3
05/29/2023,18,14,31,16
05/30/2023,31,15,38,15
05/31/2023,17,9,20,9
06/01/2023,21,10,25,10
06/02/2023,34,16,59,16
06/03/2023,24,15,29,15
06/04/2023,18,8,18,8
06/05/2023,30,20,43,20
06/06/2023,22,12,30,12
06/07/2023,40,23,64,23
06/08/2023,21,10,34,10
06/09/2023,34,15,45,16
06/10/2023,11,6,11,6
06/11/2023,4,2,6,2
06/12/2023,21,15,31,15
06/13/2023,18,14,24,15
06/14/2023,31,17,44,18
06/15/2023,34,16,45,16
06/16/2023,42,18,59,20
06/17/2023,9,7,11,7
06/18/2023,18,6,18,6
06/19/2023,30,14,36,14
06/20/2023,41,20,49,20
06/21/2023,38,16,49,16
06/22/2023,24,12,39,12
06/23/2023,35,21,47,21
06/24/2023,24,13,27,13
06/25/2023,18,7,20,7
06/26/2023,24,11,46,11
06/27/2023,32,13,44,13
06/28/2023,27,16,42,18
06/29/2023,21,14,41,15
06/30/2023,14,10,18,10
07/01/2023,5,4,7,4
07/02/2023,14,7,16,7
07/03/2023,36,25,55,26
07/04/2023,18,14,26,14
07/05/2023,26,16,35,16
07/06/2023,29,16,46,16
07/07/2023,17,11,23,12
07/08/2023,7,5,8,5
07/09/2023,11,7,21,7
07/10/2023,25,14,41,14
07/11/2023,132,74,206,74
07/12/2023,55,30,78,30
07/13/2023,123,48,174,48
07/14/2023,108,47,156,47
07/15/2023,27,19,38,19
07/16/2023,15,10,20,10
07/17/2023,57,31,87,34
07/18/2023,35,22,50,22
07/19/2023,71,27,96,27
07/20/2023,42,18,71,19
07/21/2023,38,20,51,20
07/22/2023,17,9,20,9
07/23/2023,16,6,19,7
07/24/2023,51,17,64,18
07/25/2023,48,20,72,20
07/26/2023,59,27,73,27
07/27/2023,39,17,59,18
07/28/2023,23,13,30,13
07/29/2023,11,8,12,8
07/30/2023,15,7,25,7
07/31/2023,38,15,56,16
08/01/2023,49,22,71,23
08/02/2023,48,18,69,19
08/03/2023,65,24,94,24
08/04/2023,29,18,40,18
08/05/2023,19,9,27,9
08/06/2023,14,6,20,6
08/07/2023,34,23,50,24
08/08/2023,25,15,47,15
08/09/2023,40,20,52,20
08/10/2023,25,13,36,14
08/11/2023,44,25,64,26
08/12/2023,27,13,35,13
08/13/2023,10,7,16,7
08/14/2023,32,18,41,18
08/15/2023,44,20,58,20
08/16/2023,51,17,73,17
08/17/2023,37,17,45,17
08/18/2023,25,14,36,14
08/19/2023,8,4,11,6
08/20/2023,5,4,6,4
08/21/2023,25,14,52,14
08/22/2023,58,27,79,29
08/23/2023,80,30,109,30
08/24/2023,25,15,41,15
08/25/2023,57,30,81,31
08/26/2023,12,6,12,6
08/27/2023,9,6,14,6
08/28/2023,30,16,38,16
08/29/2023,52,26,80,26
08/30/2023,36,14,51,14
08/31/2023,19,14,30,14
09/01/2023,56,34,98,34
09/02/2023,60,22,77,22
09/03/2023,32,15,38,15
09/04/2023,71,30,92,30
09/05/2023,79,37,105,37
09/06/2023,57,27,76,27
09/07/2023,28,19,36,20
09/08/2023,28,11,31,11
09/09/2023,17,4,23,4
09/10/2023,12,7,20,7
09/11/2023,43,25,63,25
09/12/2023,60,29,104,29
09/13/2023,36,23,51,23
09/14/2023,74,32,109,32
09/15/2023,42,23,61,23
09/16/2023,2,2,2,2
09/17/2023,11,6,14,6
09/18/2023,23,17,37,17
09/19/2023,115,51,169,52
09/20/2023,28,16,39,16
09/21/2023,50,26,88,26
09/22/2023,28,19,35,19
09/23/2023,5,5,8,6
09/24/2023,7,5,10,5
09/25/2023,33,15,55,15
09/26/2023,56,11,60,11
09/27/2023,31,19,49,21
09/28/2023,37,22,57,22
09/29/2023,31,21,46,22
09/30/2023,6,4,10,6
10/01/2023,22,4,30,4
10/02/2023,38,15,53,15
10/03/2023,61,25,88,25
10/04/2023,18,9,21,10
10/05/2023,34,21,44,22
10/06/2023,18,9,20,9
10/07/2023,28,11,31,11
10/08/2023,10,5,10,5
10/09/2023,49,17,64,18
10/10/2023,49,26,61,26
10/11/2023,31,16,40,16
10/12/2023,16,13,21,13
10/13/2023,49,8,55,8
10/14/2023,12,5,14,5
10/15/2023,7,3,9,3
10/16/2023,37,19,57,20
10/17/2023,72,39,95,39
10/18/2023,226,82,284,82
10/19/2023,78,39,106,39
10/20/2023,116,38,142,39
10/21/2023,23,12,28,12
10/22/2023,45,12,48,12
10/23/2023,46,21,69,23
10/24/2023,64,23,80,23
10/25/2023,52,25,77,25
10/26/2023,66,29,81,29
10/27/2023,59,27,80,27
10/28/2023,35,14,52,14
10/29/2023,26,14,29,14
10/30/2023,41,21,62,23
10/31/2023,66,23,91,24
11/01/2023,64,21,85,21
11/02/2023,27,12,42,12
11/03/2023,37,17,46,18
11/04/2023,14,10,18,10
11/05/2023,11,4,14,4
11/06/2023,124,58,183,60
11/07/2023,61,26,86,26
11/08/2023,35,25,53,25
11/09/2023,62,30,88,30
11/10/2023,51,29,77,29
11/11/2023,15,10,22,10
11/12/2023,13,8,17,8
11/13/2023,33,21,50,23
11/14/2023,40,27,58,28
11/15/2023,32,18,44,18
11/16/2023,44,23,69,24
11/17/2023,41,24,67,24
11/18/2023,14,9,19,9
11/19/2023,17,9,21,9
11/20/2023,21,13,31,14
11/21/2023,16,10,29,10
11/22/2023,13,8,29,8
11/23/2023,35,20,52,20
11/24/2023,24,13,32,13
11/25/2023,11,7,15,7
11/26/2023,5,4,6,4
11/27/2023,9,6,14,7
11/28/2023,20,9,32,9
11/29/2023,35,16,47,16
11/30/2023,58,24,79,25
12/01/2023,40,18,47,18
12/02/2023,14,8,16,8
12/03/2023,22,10,26,10
12/04/2023,43,19,67,21
12/05/2023,16,10,22,10
12/06/2023,17,10,27,10
12/07/2023,54,25,67,25
12/08/2023,45,21,66,22
12/09/2023,8,6,8,6
12/10/2023,10,6,15,6
12/11/2023,38,18,69,20
12/12/2023,35,20,58,20
12/13/2023,14,12,24,12
12/14/2023,26,16,51,16
12/15/2023,13,5,17,5
12/16/2023,18,5,22,5
12/17/2023,6,5,7,5
12/18/2023,47,15,56,16
12/19/2023,19,13,37,13
12/20/2023,37,12,57,12
12/21/2023,35,16,43,17
12/22/2023,30,15,36,15
12/23/2023,6,3,10,3
12/24/2023,8,1,8,1
12/25/2023,2,1,3,2
12/26/2023,22,13,37,15
12/27/2023,34,14,50,14
12/28/2023,36,16,49,16
12/29/2023,12,7,17,7
12/30/2023,9,2,10,2
12/31/2023,2,2,2,2
01/01/2024,3,2,3,2
01/02/2024,19,12,25,12
01/03/2024,21,11,29,12
01/04/2024,38,22,61,22
01/05/2024,22,13,36,14
01/06/2024,12,7,15,7
01/07/2024,14,8,20,8
01/08/2024,41,18,66,20
01/09/2024,20,10,26,11
01/10/2024,45,20,78,20
01/11/2024,35,21,51,21
01/12/2024,16,10,24,10
01/13/2024,18,9,23,9
01/14/2024,6,3,7,3
01/15/2024,119,52,190,52
01/16/2024,135,65,215,66
01/17/2024,63,36,87,36
01/18/2024,74,37,107,38
01/19/2024,29,17,44,17
01/20/2024,28,12,36,12
01/21/2024,0,0,0,0
01/22/2024,55,24,89,24
01/23/2024,49,20,59,20
01/24/2024,43,26,62,27
01/25/2024,0,0,0,0
01/26/2024,37,16,55,16
01/27/2024,17,5,26,7
01/28/2024,13,8,19,8
01/29/2024,36,16,51,16
01/30/2024,37,20,59,21
01/31/2024,59,39,100,39
02/01/2024,60,26,89,26
02/02/2024,44,16,64,16
02/03/2024,30,11,40,12
02/04/2024,10,6,13,6
02/05/2024,73,20,95,20
02/06/2024,24,16,47,17
02/07/2024,61,35,100,35
02/08/2024,94,56,125,56
02/09/2024,58,26,71,26
02/10/2024,13,8,21,8
02/11/2024,10,4,11,4
02/12/2024,36,15,47,15
02/13/2024,17,10,24,10
02/14/2024,31,16,41,17
02/15/2024,60,32,83,32
02/16/2024,48,17,61,17
02/17/2024,36,18,50,18
02/18/2024,21,9,28,9
02/19/2024,57,23,83,23
02/20/2024,21,16,41,18
02/21/2024,23,10,32,10
02/22/2024,53,26,77,26
02/23/2024,31,18,45,18
02/24/2024,5,5,6,5
02/25/2024,15,9,20,9
02/26/2024,43,28,71,28
02/27/2024,48,28,81,28
02/28/2024,85,37,128,39
02/29/2024,49,27,64,27
03/01/2024,24,14,32,14
03/02/2024,26,12,36,12
03/03/2024,14,9,17,9
03/04/2024,54,34,80,34
03/05/2024,85,42,121,45
03/06/2024,30,19,41,19
03/07/2024,63,29,102,29
03/08/2024,55,27,97,28
03/09/2024,18,11,28,11
03/10/2024,13,11,15,11
03/11/2024,52,31,69,32
03/12/2024,129,58,182,59
03/13/2024,61,31,92,31
03/14/2024,85,50,110,50
03/15/2024,72,34,106,34
03/16/2024,38,12,51,12
03/17/2024,42,18,58,18
03/18/2024,64,31,93,31
03/19/2024,60,34,89,36
03/20/2024,76,31,109,31
03/21/2024,33,23,57,23
03/22/2024,44,22,64,23
03/23/2024,16,8,24,8
03/24/2024,9,4,12,4
03/25/2024,84,50,133,51
03/26/2024,122,62,236,64
03/27/2024,63,37,114,39
03/28/2024,37,28,71,29
03/29/2024,38,14,60,14
03/30/2024,28,14,45,14
03/31/2024,7,5,13,5
04/01/2024,43,27,66,27
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
