Data,Impressões (orgânicas),Impressões únicas (orgânicas),Cliques (orgânicos),Reações (orgânicas),Comentários (orgânicos),Compartilhamentos (orgânicos),Taxa de engajamento (orgânico)
04/03/2023,143,36,9,1,0,0,0.06993007
04/04/2023,459,219,285,16,3,0,0.662309368
04/05/2023,608,298,166,21,0,2,0.310855263
04/06/2023,493,179,76,9,0,1,0.174442191
04/07/2023,196,110,67,2,0,0,0.352040816
04/08/2023,113,76,3,1,0,0,0.03539823
04/09/2023,128,68,20,2,0,0,0.171875
04/10/2023,165,78,21,3,0,0,0.145454545
04/11/2023,121,51,39,2,0,0,0.338842975
04/12/2023,114,50,39,2,0,0,0.359649123
04/13/2023,202,123,29,5,0,0,0.168316832
04/14/2023,162,90,6,6,0,1,0.080246914
04/15/2023,75,46,11,1,0,0,0.16
04/16/2023,76,45,0,1,0,0,0.013157895
04/17/2023,412,211,20,13,0,2,0.084951456
04/18/2023,402,176,26,2,0,3,0.077114428
04/19/2023,267,57,5,0,0,0,0.018726592
04/20/2023,160,87,10,10,0,1,0.13125
04/21/2023,97,53,10,0,0,0,0.103092784
04/22/2023,56,33,6,0,0,0,0.107142857
04/23/2023,65,32,23,1,0,0,0.369230769
04/24/2023,375,146,10,7,0,1,0.048
04/25/2023,260,159,13,8,0,1,0.084615385
04/26/2023,430,134,16,9,0,0,0.058139535
04/27/2023,267,115,2,6,0,0,0.029962547
04/28/2023,109,59,1,3,0,0,0.036697248
04/29/2023,74,34,6,1,0,0,0.094594595
04/30/2023,51,25,0,1,0,0,0.019607843
05/01/2023,136,86,1,0,0,0,0.007352941
05/02/2023,240,123,5,8,0,0,0.054166667
05/03/2023,117,77,1,10,0,0,0.094017094
05/04/2023,104,69,0,8,0,1,0.086538462
05/05/2023,135,55,0,2,0,0,0.014814815
05/06/2023,61,28,2,0,0,0,0.032786885
05/07/2023,54,31,0,0,0,0,0
05/08/2023,230,111,11,3,0,0,0.060869565
05/09/2023,125,63,4,1,0,0,0.04
05/10/2023,130,84,34,48,0,1,0.638461538
05/11/2023,625,362,10,48,1,1,0.096
05/12/2023,367,215,22,24,0,2,0.130790191
05/13/2023,268,114,17,3,0,0,0.074626866
05/14/2023,167,89,10,0,0,0,0.05988024
05/15/2023,262,134,2,6,0,0,0.030534351
05/16/2023,277,145,8,10,0,1,0.068592058
05/17/2023,153,60,5,1,0,0,0.039215686
05/18/2023,329,140,6,13,0,1,0.060790274
05/19/2023,199,75,2,4,0,1,0.035175879
05/20/2023,47,32,0,0,0,1,0.021276596
05/21/2023,51,29,0,0,0,0,0
05/22/2023,415,201,7,20,0,1,0.06746988
05/23/2023,406,206,7,17,0,1,0.061576355
05/24/2023,412,191,17,15,0,1,0.080097087
05/25/2023,1207,646,36,41,0,8,0.070422535
05/26/2023,572,321,20,8,0,1,0.050699301
05/27/2023,170,110,1,5,0,0,0.035294118
05/28/2023,134,80,0,3,0,0,0.02238806
05/29/2023,291,163,5,3,0,0,0.027491409
05/30/2023,210,86,2,3,0,0,0.023809524
05/31/2023,81,40,2,2,1,0,0.061728395
06/01/2023,148,70,1,0,0,0,0.006756757
06/02/2023,72,42,0,1,0,0,0.013888889
06/03/2023,52,35,3,1,0,0,0.076923077
06/04/2023,95,39,3,2,0,0,0.052631579
06/05/2023,200,118,4,6,0,0,0.05
06/06/2023,88,48,1,1,0,0,0.022727273
06/07/2023,528,284,135,21,0,1,0.297348485
06/08/2023,465,235,119,17,0,0,0.292473118
06/09/2023,339,176,46,17,3,0,0.194690265
06/10/2023,136,94,15,4,0,-9,0.073529412
06/11/2023,147,75,24,3,0,0,0.183673469
06/12/2023,275,167,27,4,0,0,0.112727273
06/13/2023,166,97,16,2,0,0,0.108433735
06/14/2023,455,201,4,14,1,1,0.043956044
06/15/2023,500,257,34,16,0,2,0.104
06/16/2023,532,204,23,6,0,1,0.056390977
06/17/2023,133,67,4,1,0,0,0.037593985
06/18/2023,132,76,21,1,0,0,0.166666667
06/19/2023,335,192,9,14,0,0,0.068656716
06/20/2023,330,199,4,7,4,2,0.051515152
06/21/2023,227,158,0,5,0,0,0.022026432
06/22/2023,116,69,1,3,0,0,0.034482759
06/23/2023,571,425,3,35,13,14,0.113835377
06/24/2023,213,162,1,2,0,0,0.014084507
06/25/2023,249,114,4,0,0,0,0.016064257
06/26/2023,426,214,11,8,0,1,0.046948357
06/27/2023,251,151,1,6,0,1,0.03187251
06/28/2023,183,105,0,4,0,-6,-0.010928962
06/29/2023,273,183,0,8,0,2,0.036630037
06/30/2023,116,65,1,0,0,0,0.00862069
07/01/2023,80,36,1,1,0,0,0.025
07/02/2023,65,45,2,1,0,0,0.046153846
07/03/2023,137,52,8,3,0,0,0.080291971
07/04/2023,85,41,24,2,0,0,0.305882353
07/05/2023,60,37,7,0,0,0,0.116666667
07/06/2023,80,35,1,0,0,0,0.0125
07/07/2023,82,29,0,0,0,0,0
07/08/2023,35,21,1,0,0,0,0.028571429
07/09/2023,45,23,1,1,0,0,0.044444444
07/10/2023,102,29,1,0,0,0,0.009803922
07/11/2023,159,42,8,0,0,0,0.050314465
07/12/2023,114,43,2,0,0,0,0.01754386
07/13/2023,197,37,3,0,0,0,0.015228426
07/14/2023,113,32,1,0,0,0,0.008849558
07/15/2023,39,19,0,1,0,0,0.025641026
07/16/2023,19,6,0,0,0,0,0
07/17/2023,90,21,7,0,0,0,0.077777778
07/18/2023,59,19,0,0,0,0,0
07/19/2023,441,222,37,15,1,1,0.12244898
07/20/2023,209,125,21,2,0,0,0.110047847
07/21/2023,346,176,22,7,0,1,0.086705202
07/22/2023,66,51,1,1,0,0,0.03030303
07/23/2023,65,39,4,1,1,0,0.092307692
07/24/2023,112,46,9,1,0,1,0.098214286
07/25/2023,124,36,10,0,0,0,0.080645161
07/26/2023,84,32,3,2,0,1,0.071428571
07/27/2023,55,27,1,2,0,0,0.054545455
07/28/2023,52,22,13,0,0,0,0.25
07/29/2023,41,20,9,1,0,0,0.243902439
07/30/2023,62,30,3,2,0,0,0.080645161
07/31/2023,154,29,2,1,0,0,0.019480519
08/01/2023,84,25,7,0,0,0,0.083333333
08/02/2023,94,19,14,0,0,0,0.14893617
08/03/2023,62,17,0,2,0,0,0.032258065
08/04/2023,53,23,0,1,0,1,0.037735849
08/05/2023,29,7,0,1,0,0,0.034482759
08/06/2023,13,11,4,0,0,0,0.307692308
08/07/2023,37,5,3,0,0,0,0.081081081
08/08/2023,68,9,0,0,0,0,0
08/09/2023,32,9,0,0,0,0,0
08/10/2023,24,10,0,0,0,0,0
08/11/2023,30,17,1,0,0,0,0.033333333
08/12/2023,21,7,0,0,0,0,0
08/13/2023,7,6,0,0,0,0,0
08/14/2023,46,19,0,0,0,0,0
08/15/2023,61,14,2,0,0,0,0.032786885
08/16/2023,56,13,0,0,0,0,0
08/17/2023,63,11,2,0,0,0,0.031746032
08/18/2023,68,13,9,0,0,0,0.132352941
08/19/2023,6,6,0,0,0,0,0
08/20/2023,1,1,0,0,0,0,0
08/21/2023,41,4,9,0,0,0,0.219512195
08/22/2023,79,11,0,0,0,0,0
08/23/2023,109,11,9,0,0,0,0.082568807
08/24/2023,37,6,2,0,0,0,0.054054054
08/25/2023,121,12,4,0,0,0,0.033057851
08/26/2023,1,1,0,0,0,0,0
08/27/2023,8,1,0,0,0,0,0
08/28/2023,54,11,0,0,0,0,0
08/29/2023,227,154,2,3,0,0,0.022026432
08/30/2023,395,168,8,13,0,1,0.055696203
08/31/2023,193,94,7,9,0,0,0.082901554
09/01/2023,820,326,36,87,15,10,0.180487805
09/02/2023,274,129,10,18,0,0,0.102189781
09/03/2023,270,161,12,5,0,0,0.062962963
09/04/2023,303,159,9,8,0,2,0.062706271
09/05/2023,575,312,16,53,6,11,0.149565217
09/06/2023,272,148,2,12,0,2,0.058823529
09/07/2023,111,80,1,3,0,0,0.036036036
09/08/2023,133,79,2,1,0,0,0.022556391
09/09/2023,103,64,3,1,0,0,0.038834951
09/10/2023,272,58,46,0,0,0,0.169117647
09/11/2023,167,102,5,0,0,0,0.02994012
09/12/2023,366,225,7,8,0,1,0.043715847
09/13/2023,242,147,3,0,0,2,0.020661157
09/14/2023,185,109,10,16,1,2,0.156756757
09/15/2023,159,104,3,12,0,0,0.094339623
09/16/2023,78,54,0,1,0,0,0.012820513
09/17/2023,82,51,1,5,0,0,0.073170732
09/18/2023,180,72,8,1,0,0,0.05
09/19/2023,341,191,53,7,1,0,0.17888563
09/20/2023,194,76,22,3,0,0,0.128865979
09/21/2023,149,74,8,2,0,0,0.067114094
09/22/2023,282,163,11,6,0,0,0.060283688
09/23/2023,133,69,2,1,0,0,0.022556391
09/24/2023,115,72,10,2,0,0,0.104347826
09/25/2023,250,144,5,6,0,0,0.044
09/26/2023,1045,200,18,18,0,0,0.034449761
09/27/2023,328,139,1,4,0,0,0.015243902
09/28/2023,175,55,3,1,0,16,0.114285714
09/29/2023,251,103,9,4,1,1,0.059760956
09/30/2023,41,29,0,0,0,0,0
10/01/2023,68,43,4,2,0,0,0.088235294
10/02/2023,291,124,16,6,1,0,0.079037801
10/03/2023,461,263,5,8,0,0,0.028199566
10/04/2023,357,185,2,12,0,-1,0.036414566
10/05/2023,125,82,0,2,0,0,0.016
10/06/2023,131,80,4,3,0,0,0.053435115
10/07/2023,258,74,5,9,0,0,0.054263566
10/08/2023,432,297,13,21,0,0,0.078703704
10/09/2023,284,138,1,7,0,1,0.031690141
10/10/2023,633,371,90,18,0,2,0.173775671
10/11/2023,490,273,22,6,0,-1,0.055102041
10/12/2023,113,90,0,3,0,0,0.026548673
10/13/2023,274,178,1,8,0,0,0.032846715
10/14/2023,139,98,4,3,1,0,0.057553957
10/15/2023,88,52,16,1,0,0,0.193181818
10/16/2023,147,71,1,6,0,0,0.047619048
10/17/2023,608,308,9,23,2,12,0.075657895
10/18/2023,1517,796,68,71,10,3,0.100197759
10/19/2023,1286,744,50,61,5,0,0.090202177
10/20/2023,1906,1015,55,89,6,0,0.078698846
10/21/2023,517,301,24,15,0,0,0.075435203
10/22/2023,477,262,58,9,0,0,0.140461216
10/23/2023,679,350,51,16,1,0,0.100147275
10/24/2023,636,281,10,8,0,0,0.028301887
10/25/2023,301,154,2,7,0,0,0.029900332
10/26/2023,238,110,5,7,0,0,0.050420168
10/27/2023,609,353,15,32,1,2,0.082101806
10/28/2023,169,106,8,3,0,0,0.065088757
10/29/2023,147,96,4,1,0,0,0.034013605
10/30/2023,513,328,65,17,0,0,0.159844055
10/31/2023,653,391,49,20,0,0,0.105666156
11/01/2023,464,317,0,15,0,0,0.032327586
11/02/2023,182,112,0,0,0,0,0
11/03/2023,393,222,1,6,0,0,0.017811705
11/04/2023,126,91,0,3,0,0,0.023809524
11/05/2023,135,55,4,2,0,0,0.044444444
11/06/2023,310,105,9,0,0,0,0.029032258
11/07/2023,403,231,1,10,0,0,0.027295285
11/08/2023,154,105,1,0,0,0,0.006493506
11/09/2023,254,127,7,11,0,0,0.070866142
11/10/2023,120,65,3,5,0,0,0.066666667
11/11/2023,77,42,5,1,0,0,0.077922078
11/12/2023,90,59,3,1,0,0,0.044444444
11/13/2023,155,66,3,1,1,0,0.032258065
11/14/2023,122,87,2,8,0,0,0.081967213
11/15/2023,81,51,3,3,0,0,0.074074074
11/16/2023,133,62,15,2,0,0,0.127819549
11/17/2023,164,59,5,1,0,0,0.036585366
11/18/2023,57,30,1,0,0,0,0.01754386
11/19/2023,38,24,1,0,0,0,0.026315789
11/20/2023,126,66,1,4,0,0,0.03968254
11/21/2023,135,66,1,3,0,0,0.02962963
11/22/2023,82,39,0,3,0,0,0.036585366
11/23/2023,177,76,5,2,0,0,0.039548023
11/24/2023,162,59,4,4,0,0,0.049382716
11/25/2023,79,30,6,2,0,0,0.101265823
11/26/2023,44,24,2,0,0,0,0.045454545
11/27/2023,89,36,2,1,0,0,0.033707865
11/28/2023,189,81,4,4,0,0,0.042328042
11/29/2023,245,125,4,2,0,0,0.024489796
11/30/2023,240,83,14,2,0,0,0.066666667
12/01/2023,175,74,2,8,0,0,0.057142857
12/02/2023,77,40,1,0,0,0,0.012987013
12/03/2023,100,35,4,1,0,0,0.05
12/04/2023,438,212,4,11,0,0,0.034246575
12/05/2023,184,113,5,3,0,0,0.043478261
12/06/2023,620,73,46,1,0,0,0.075806452
12/07/2023,215,116,5,7,0,0,0.055813953
12/08/2023,162,69,3,1,0,0,0.024691358
12/09/2023,109,44,3,1,0,0,0.036697248
12/10/2023,79,44,1,0,0,0,0.012658228
12/11/2023,58,44,0,2,0,0,0.034482759
12/12/2023,105,64,0,4,0,0,0.038095238
12/13/2023,107,65,1,2,0,0,0.028037383
12/14/2023,40,27,1,2,0,0,0.075
